date,open,high,low,close
1975-07-13,9.19,10.19,9.0,9.88
1975-07-20,9.88,10.12,9.75,9.94
1975-07-27,9.94,10.0,9.19,9.25
1975-08-03,9.06,9.38,8.88,9.19
1975-08-10,9.19,9.19,8.81,9.06
1975-08-17,9.06,9.5,9.0,9.44
1975-08-24,9.44,9.56,9.12,9.31
1975-08-31,9.31,9.69,9.06,9.56
1975-09-07,9.545,9.6375,9.25,9.5
1975-09-14,9.5,9.56,9.06,9.25
1975-09-21,9.25,9.94,9.19,9.88
1975-09-28,9.88,9.94,9.31,9.5
1975-10-05,9.5,9.94,9.38,9.94
1975-10-12,9.94,10.12,9.69,10.0
1975-10-19,10.0,10.69,10.0,10.31
1975-10-26,10.31,10.69,10.12,10.19
1975-11-02,10.12,10.56,9.88,10.38
1975-11-09,10.38,11.0,10.0,10.88
1975-11-16,10.81,11.44,10.62,11.31
1975-11-23,11.31,11.56,10.94,11.0
1975-11-30,11.0,11.44,10.5,11.31
1975-12-07,11.31,11.38,10.12,10.19
1975-12-14,10.19,10.62,10.06,10.44
1975-12-21,10.44,11.25,10.44,11.0
1975-12-28,11.0,11.12,10.69,11.0
1976-01-04,11.0,11.19,10.81,11.06
1976-01-11,11.06,11.56,11.06,11.5
1976-01-18,11.5,11.94,11.38,11.94
1976-01-25,11.94,12.44,11.88,12.06
1976-02-01,12.06,12.56,12.0,12.38
1976-02-08,12.38,12.62,11.81,12.06
1976-02-15,12.06,12.44,11.88,12.31
1976-02-22,12.3275,12.395,11.25,12.0
1976-02-29,12.0,12.06,11.0,11.12
1976-03-07,11.12,11.94,10.94,11.56
1976-03-14,11.56,11.88,11.19,11.25
1976-03-21,11.25,11.25,10.81,10.94
1976-03-28,11.0,11.38,10.94,11.25
1976-04-04,11.25,11.38,10.69,10.75
1976-04-11,10.75,11.0,10.62,10.75
1976-04-18,10.75,10.81,10.3325,10.530000000000001
1976-04-25,10.5,11.0,10.19,10.69
1976-05-02,10.69,11.19,10.5,10.94
1976-05-09,10.88,10.94,10.69,10.88
1976-05-16,10.88,10.88,10.5,10.62
1976-05-23,10.62,10.69,10.38,10.69
1976-05-30,10.69,10.81,10.06,10.25
1976-06-06,10.235,10.38,10.06,10.12
